name,percent
Maryellen,6.9e-5
Coleen,6.8e-5
Crystal,6.8e-5
Ethelyn,6.8e-5
Eulalia,6.8e-5
Leatha,6.8e-5
Lolita,6.8e-5
Mittie,6.8e-5
Walter,6.8e-5
Wynona,6.8e-5
Annabell,6.7e-5
Bethel,6.7e-5
Lita,6.7e-5
Lovie,6.7e-5
Nila,6.7e-5
Zola,6.7e-5
Ardella,6.6e-5
Cecil,6.6e-5
Dena,6.6e-5
Nova,6.6e-5
Almeda,6.5e-5
Bernardine,6.5e-5
Evangelina,6.5e-5
Leonora,6.5e-5
Lilia,6.5e-5
Ray,6.5e-5
Rosina,6.5e-5
Sydney,6.5e-5
Ernestina,6.4e-5
Kathrine,6.4e-5
Letitia,6.4e-5
Maryjane,6.4e-5
Nada,6.4e-5
Raquel,6.4e-5
Romaine,6.4e-5
Alda,6.3e-5
Cathleen,6.3e-5
Estell,6.3e-5
Lina,6.3e-5
Rosanna,6.3e-5
Rosia,6.3e-5
Sonja,6.3e-5
Willene,6.3e-5
Zora,6.3e-5
Dorla,6.2e-5
Ira,6.2e-5
Jolene,6.2e-5
Laverna,6.2e-5
Louvenia,6.2e-5
Luvenia,6.2e-5
Rubie,6.2e-5
Carrol,6.1e-5
Cherie,6.1e-5
Colette,6.1e-5
Elois,6.1e-5
Filomena,6.1e-5
Frank,6.1e-5
Henry,6.1e-5
Hettie,6.1e-5
Jamie,6.1e-5
Laquita,6.1e-5
Lynette,6.1e-5
Merilyn,6.1e-5
Palma,6.1e-5
Vita,6.1e-5
Winnifred,6.1e-5
Amalia,6.1e-5
Ana,6.1e-5
Belle,6.1e-5
Georgina,6.1e-5
Lawanda,6.1e-5
Lynne,6.1e-5
Mardell,6.1e-5
Oralia,6.1e-5
Willia,6.1e-5
Willodean,6.1e-5
Adella,6e-5
Lulu,6e-5
Marilou,6e-5
Mozell,6e-5
Nanette,6e-5
Nella,6e-5
Venita,6e-5
Catalina,5.9e-5
Delphia,5.9e-5
Marilee,5.9e-5
Waneta,5.9e-5
Annabel,5.8e-5
Jettie,5.8e-5
Lonnie,5.8e-5
Lyla,5.8e-5
Rozella,5.8e-5
Vernie,5.8e-5
Ardell,5.7e-5
Arvilla,5.7e-5
Audry,5.7e-5
Bridget,5.7e-5
Elayne,5.7e-5
Eugene,5.7e-5
Evalyn,5.7e-5
Eve,5.7e-5
Gaynell,5.7e-5
Janelle,5.7e-5
Jocelyn,5.7e-5
Juliet,5.7e-5
Marge,5.7e-5
Maud,5.7e-5
Mayme,5.7e-5
Phylis,5.7e-5
Verona,5.7e-5
Augustine,5.6e-5
Beverlee,5.6e-5
Carleen,5.6e-5
Esta,5.6e-5
Herminia,5.6e-5
Jonnie,5.6e-5
Lennie,5.6e-5
Melissa,5.6e-5
Merlene,5.6e-5
Tressie,5.6e-5
Bebe,5.5e-5
Era,5.5e-5
Ferne,5.5e-5
Harold,5.5e-5
Twyla,5.5e-5
Adelina,5.4e-5
Amparo,5.4e-5
Carolee,5.4e-5
Dee,5.4e-5
Dominga,5.4e-5
Kattie,5.4e-5
Nathalie,5.4e-5
Carma,5.3e-5
Concepcion,5.3e-5
Dian,5.3e-5
Dorthey,5.3e-5
Eloisa,5.3e-5
Joycelyn,5.3e-5
Kenneth,5.3e-5
Mandy,5.3e-5
Neoma,5.3e-5
Annis,5.2e-5
Armida,5.2e-5
Claudie,5.2e-5
Erlene,5.2e-5
Idell,5.2e-5
Josefa,5.2e-5
Julianne,5.2e-5
Kathy,5.2e-5
Lida,5.2e-5
Lynda,5.2e-5
Robin,5.2e-5
Rosanne,5.2e-5
Verdell,5.2e-5
Abbie,5.2e-5
Bernita,5.2e-5
Bulah,5.2e-5
Inell,5.2e-5
Juliana,5.2e-5
Marva,5.2e-5
Sidney,5.2e-5
Aida,5.1e-5
Arla,5.1e-5
Becky,5.1e-5
David,5.1e-5
Georgine,5.1e-5
Hortencia,5.1e-5
Letty,5.1e-5
Louis,5.1e-5
Myrtie,5.1e-5
Rosamond,5.1e-5
Altha,5e-5
Ardeth,5e-5
Arletta,5e-5
Arthur,5e-5
Audra,5e-5
Emmie,5e-5
Fairy,5e-5
Florida,5e-5
Freeda,5e-5
Kaye,5e-5
Lavera,5e-5
Mariann,5e-5
Patrica,5e-5
Susanna,5e-5
Annamae,4.9e-5
Barbra,4.9e-5
Emmer,4.9e-5
Marita,4.9e-5
Thomasina,4.9e-5
Anastasia,4.8e-5
Ardyce,4.8e-5
Cathrine,4.8e-5
Ceola,4.8e-5
Delfina,4.8e-5
Golda,4.8e-5
Jimmy,4.8e-5
Lea,4.8e-5
Raymond,4.8e-5
Trula,4.8e-5
Delilah,4.7e-5
Elmira,4.7e-5
Laurie,4.7e-5
Lidia,4.7e-5
Lyda,4.7e-5
Marcelle,4.7e-5
Merry,4.7e-5
Neta,4.7e-5
Rachael,4.7e-5
Bettylou,4.6e-5
Clarissa,4.6e-5
Ethelene,4.6e-5
Jack,4.6e-5
Marta,4.6e-5
Noel,4.6e-5
Rosalia,4.6e-5
Thalia,4.6e-5
Clyde,4.5e-5
Herlinda,4.5e-5
Imelda,4.5e-5
Mariam,4.5e-5
